codi,habitants,comarca
01,44296,Alt Camp
02,141339,Alt Empordà
03,108411,Alt Penedès
04,20177,Alt Urgell
05,3802,Alta Ribagorça
06,120738,Anoia
07,178885,Bages
08,190973,Baix Camp
09,77596,Baix Ebre
10,134359,Baix Empordà
11,825963,Baix Llobregat
12,104991,Baix Penedès
13,2278437,Barcelonès
14,39446,Berguedà
15,18192,Cerdanya
16,20042,Conca de Barberà
17,150887,Garraf
18,18833,Garrigues
19,57590,Garrotxa
20,193908,Gironès
21,452690,Maresme
22,67436,Montsià
23,38770,Noguera
24,160821,Osona
25,13080,Pallars Jussà
26,6932,Pallars Sobirà
27,36693,Pla d'Urgell
28,32293,Pla de l'Estany
29,9245,Priorat
30,21865,Ribera d'Ebre
31,25087,Ripollès
32,23052,Segarra
33,209818,Segrià
34,171617,Selva
35,13469,Solsonès
36,256730,Tarragonès
37,11490,Terra Alta
38,36693,Urgell
39,10093,Aran
40,925237,Vallès Occidental
41,409638,Vallès Oriental
42,13603,Moianès
